2021-11-05 21:39:17,564 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-11-05 21:39:17,610 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-11-05 21:39:17,611 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-11-05 21:39:17,612 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-11-05 21:39:17,632 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-11-05 21:39:17,633 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-11-05 21:39:17,634 INFO  SwAddin.cs: 201 - Setting up command manager
2021-11-05 21:39:17,634 INFO  SwAddin.cs: 204 - Adding command manager
2021-11-05 21:39:17,638 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-11-05 21:39:17,639 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-11-05 21:39:17,640 INFO  SwAddin.cs: 210 - Adding event handlers
2021-11-05 21:39:17,810 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-11-05 21:47:28,602 INFO  SwAddin.cs: 294 - Assembly export called for file ¾î¼Àºí¸®1
2021-11-05 21:47:28,611 INFO  SwAddin.cs: 299 - Save is required
2021-11-05 21:47:28,611 INFO  SwAddin.cs: 313 - Saving assembly
2021-11-05 21:47:28,612 INFO  SwAddin.cs: 316 - Opening property manager
2021-11-05 21:47:28,624 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ¾î¼Àºí¸®1
2021-11-05 21:47:28,652 INFO  ExportHelperExtension.cs: 1136 - Found 26 in ¾î¼Àºí¸®1
2021-11-05 21:47:28,653 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [CoordSys] in ¾î¼Àºí¸®1
2021-11-05 21:47:28,653 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-05 21:47:28,655 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2021-11-05 21:47:28,656 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from siriya.stp-1
